Brand Name,Device Type,Model Name,Color,Selling Price,Original Price,Display,Rating (Out of 5),Strap Material,Average Battery Life (in days),Discount
FitBit,FitnessBand,Charge 2,['Violet'],14999.0,14999.0,PMOLED Display,4.3,Silicone,7,0.0
FitBit,Smartwatch,Versa,['Black'],20590.0,21499.0,AMOLED Display,4.1,Silicone,7,909.0
FitBit,Smartwatch,Versa 2,['Purple'],13499.0,21999.0,AMOLED Display,4.3,Silicone,7,8500.0
FitBit,Smartwatch,Surge,['Black'],9999.0,19990.0,LCD Display,3.8,Elastomer,7,9991.0
FitBit,FitnessBand,Charge 3,['Black'],9999.0,13999.0,OLED Display,4.3,Silicone,7,4000.0
FitBit,FitnessBand,Charge 2,['Blue'],7499.0,14999.0,PMOLED Display,4.3,Silicone,7,7500.0
FitBit,FitnessBand,Charge 2,['Lightblue'],14999.0,14999.0,PMOLED Display,4.4,Silicone,7,0.0
FitBit,FitnessBand,Charge 2,['Blue'],8999.0,14999.0,PMOLED Display,4.4,Silicone,7,6000.0
FitBit,FitnessBand,Charge 2,['Black'],7498.0,14999.0,PMOLED Display,4.3,Silicone,7,7501.0
FitBit,FitnessBand,Charge 2,['Skyblue'],14999.0,14999.0,PMOLED Display,4.3,Silicone,7,0.0
FitBit,FitnessBand,Inspire HR,['Purple'],5598.0,9999.0,LED Display,4.3,Silicone,5,4401.0
FitBit,FitnessBand,Inspire HR,['White'],5899.0,9999.0,LED Display,4.3,Silicone,5,4100.0
realme,FitnessBand,Band 2,['Black'],2999.0,3499.0,TFT-LCD Display,4.1,Silicone,7,500.0
realme,FitnessBand,Band,['Yellow'],1499.0,2999.0,TFT-LCD Display,4.0,Silicone,7,1500.0
realme,FitnessBand,Smart band,['Gray'],1450.0,2999.0,TFT-LCD Display,4.0,Silicone,7,1549.0
realme,FitnessBand,Band,['Black'],1290.0,2999.0,TFT-LCD Display,4.0,Silicone,7,1709.0
Huawei,FitnessBand,Band 4,['Black'],1899.0,3099.0,TFT-LCD Display,4.2,Silicone,7,1200.0
Huawei,FitnessBand,Band 2,['Black'],1699.0,4999.0,PMOLED Display,4.1,Silicone,7,3300.0
Huawei,FitnessBand,Band 2,['Blue'],6999.0,6999.0,PMOLED Display,4.2,Silicone,7,0.0
Huawei,FitnessBand,Band 2,['Black'],4599.0,4599.0,PMOLED Display,4.1,Silicone,7,0.0
Huawei,FitnessBand,Band 6,"['Black', 'Orange', 'Pink', 'Teal']",4490.0,9990.0,PMOLED Display,4.4,Silicone,7,5500.0
Huawei,FitnessBand,Band 2 Pro Activity,"['Black', 'Pink']",2199.0,5999.0,PMOLED Display,4.1,Silicone,7,3800.0
Honor,FitnessBand,Band 6,"['Coralpink', 'Meteoriteblack', 'Sandstonegrey']",2999.0,5999.0,AMOLED Display,4.3,Plastic,14,3000.0
Honor,FitnessBand,Band 4,"['Meteoriteblack', 'Midnightnavy']",2700.0,2999.0,AMOLED Display,4.4,Plastic,7,299.0
Honor,FitnessBand,Band 3,['Dynamicorange'],2499.0,2999.0,AMOLED Display,4.3,Plastic,7,500.0
Honor,FitnessBand,Band 5i,['Black'],2469.0,2999.0,LCD Display,4.2,Plastic,7,530.0
Honor,FitnessBand,Band 3,['Navyblue'],2499.0,2999.0,PMOLED Display,4.3,Plastic,7,500.0
Honor,FitnessBand,Band 5,['Black'],2899.0,2999.0,AMOLED Display,4.4,Plastic,14,100.0
Honor,FitnessBand,Band 5,['Black'],2099.0,2999.0,AMOLED Display,4.4,Plastic,14,900.0
Honor,FitnessBand,Band 5,['Olivegreen'],2199.0,2999.0,AMOLED Display,4.4,Plastic,14,800.0
Honor,FitnessBand,Band 4,['Black'],2599.0,2999.0,AMOLED Display,4.4,Plastic,7,400.0
Honor,FitnessBand,Band 5i,['Black'],1799.0,2999.0,LCD Display,4.2,Plastic,14,1200.0
Honor,FitnessBand,band 4 running,['Black'],1649.0,2000.0,AMOLED Display,3.2,Plastic,7,351.0
Honor,FitnessBand,Band Z1,['Black'],5499.0,5499.0,AMOLED Display,3.9,Plastic,14,0.0
Honor,FitnessBand,Band 3,['Black'],4750.0,5499.0,OLED Display,4.3,Plastic,7,749.0
GOQii,FitnessBand,Beat,['Black'],2999.0,2999.0,OLED Display,2.8,Silicone,7,0.0
GOQii,FitnessBand,Vital 3.0,['Black'],3999.0,3999.0,OLED Display,3.1,Silicone,7,0.0
Infinix,FitnessBand,Band 5,"['Black', 'Blue', 'Red']",1499.0,2999.0,TFT-LCD Display,3.8,Silicone,4,1500.0
LCARE,Smartwatch,Watch,['Black'],2995.0,4495.0,OLED Display,3.5,Silicone,7,1500.0
LCARE,FitnessBand,Mambo,['Black'],1699.0,2995.0,OLED Display,3.8,Silicone,4,1296.0
LAVA,FitnessBand,BeFit,['Black'],1999.0,3499.0,LCD Display,3.6,Thermoplastic polyurethane,7,1500.0
Noise,FitnessBand,ColorFit,"['Black', 'Blue']",2199.0,2499.0,LCD Display,3.6,Silicone,3,300.0
Noise,FitnessBand,ColorFit2,"['Black', 'Blue', 'Pink']",1699.0,2499.0,TFT-LCD Display,3.9,Thermoplastic polyurethane,7,800.0
Oppo,Smartwatch,46 mm,"['Black', 'Gold']",14990.0,19990.0,AMOLED Display,3.9,Rubber,14,5000.0
Oppo,Smartwatch,41mm,"['Black', 'Pink', 'Silver']",17990.0,24990.0,AMOLED Display,3.9,Rubber,14,7000.0
realme,Smartwatch,2 Pro,['Gray'],4999.0,5999.0,AMOLED Display,4.4,Silicone,14,1000.0
realme,Smartwatch,2S,['Black'],3499.0,3999.0,AMOLED Display,4.2,Silicone,7,500.0
realme,Smartwatch,S,"['Black', 'White']",4999.0,7999.0,AMOLED Display,4.3,Silicone,14,3000.0
realme,Smartwatch,S,['Black'],6779.0,7999.0,AMOLED Display,4.3,Silicone,14,1220.0
realme,Smartwatch,S Pro,['Black'],9999.0,12999.0,AMOLED Display,4.1,Silicone,14,3000.0
realme,Smartwatch,S Master,['Black'],5999.0,8999.0,AMOLED Display,4.3,Silicone,14,3000.0
realme,Smartwatch,Fashion,['Black'],5400.0,6999.0,TFT-LCD Display,4.0,Silicone,14,1599.0
realme,Smartwatch,Classic,['Black'],3921.0,6999.0,TFT-LCD Display,4.0,Silicone,7,3078.0
Fastrack,Smartwatch,Reflex 3.0,"['Black', 'Pink']",2495.0,2995.0,TFT-LCD Display,3.8,Silicone,7,500.0
Fastrack,Smartwatch,Reflex 3.0,['Black'],2200.0,2995.0,TFT-LCD Display,4.1,Silicone,4,795.0
Fastrack,Smartwatch,Reflex Beat,"['Black', 'Purple']",1645.0,2195.0,TFT-LCD Display,4.0,Silicone,4,550.0
Fastrack,FitnessBand,Reflex Smart Band,"['Black', 'Orange', 'Red']",1595.0,1995.0,OLED Display,4.0,Silicone,4,400.0
Fastrack,FitnessBand,Reflex Smart Band,"['Gray', 'Green']",1195.0,1995.0,OLED Display,4.1,Silicone,4,800.0
Fastrack,Smartwatch,Reflex 2.0,"['Black', 'Green']",1395.0,1995.0,TFT-LCD Display,4.1,Silicone,10,600.0
boAt ,Smartwatch,Storm,"['Black', 'Gray', 'Tealgreen']",2999.0,5990.0,LCD Display,4.1,Thermoplastic polyurethane,7,2991.0
boAt ,Smartwatch,Xplorer,"['Black', 'Blue', 'Red']",3499.0,7990.0,LCD Display,3.8,Thermoplastic polyurethane,10,4491.0
boAt ,Smartwatch,Delta,"['Black', 'Gray', 'Red']",2499.0,5990.0,LCD Display,3.6,Silicone,7,3491.0
boAt ,Smartwatch,O2,"['Black', 'Green']",7990.0,7990.0,LCD Display,4.1,Thermoplastic polyurethane,10,0.0
Noise ,Smartwatch,ColorFit Qube SpO2,"['Black', 'Charcoalgrey', 'Pink']",2499.0,4999.0,AMOLED Display,4.3,Thermoplastic polyurethane,7,2500.0
Noise ,Smartwatch,ColorFit Pro 3,"['Black', 'Blue', 'Gray', 'Green', 'Pink', 'Red']",3999.0,5999.0,AMOLED Display,4.2,Thermoplastic polyurethane,7,2000.0
Noise ,Smartwatch,ColorFit Qube SpO2,"['Beigegold', 'Charcoalblack']",2499.0,4999.0,AMOLED Display,4.3,Thermoplastic polyurethane,7,2500.0
Noise ,Smartwatch,ColorFit Brio,"['Black', 'Pink']",2999.0,5999.0,AMOLED Display,4.3,Thermoplastic polyurethane,10,3000.0
Noise ,Smartwatch,ColorFit Pro 2,"['Black', 'Blue', 'Deepwine', 'Gray', 'Teal']",2699.0,4999.0,AMOLED Display,4.1,Silicone,10,2300.0
Noise ,Smartwatch,Fit Active,"['Black', 'Blue']",3499.0,5999.0,AMOLED Display,4.2,Silicone,7,2500.0
Noise ,Smartwatch,ColorFit Qube,"['Black', 'Green']",2499.0,4999.0,AMOLED Display,4.0,Thermoplastic polyurethane,7,2500.0
Noise ,Smartwatch,ColorFit Pro 2 Oxy,"['Black', 'Blue', 'Red']",2499.0,4999.0,AMOLED Display,4.0,Thermoplastic polyurethane,7,2500.0
